,idstring,sample_date,sample_strain,virus_label,fluorophore_label,annotation_space,soma_atlas_id,axonal_endpoint_dict
0,AA0001,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,974,"{'count_625': 10, 'count_648': 15, 'count_974': 29, 'count_1102': 24, 'count_945': 4, 'count_1058': 6, 'count_857': 1, 'count_672': 241, 'count_422': 2, 'count_128': 1, 'count_313': 2, 'count_685': 1, 'count_549': 2, 'count_366': 1, 'count_1097': 1, 'count_364': 1, 'count_381': 1, 'count_931': 4, 'count_1031': 1, 'count_1009': 1, 'count_1022': 1, 'count_262': 1, 'count_1020': 8, 'count_733': 1, 'count_484682512': 2, 'count_882': 1, 'count_844': 6, 'count_767': 3, 'count_1021': 1, 'count_526157196': 3, 'count_440': 1, 'count_878': 10, 'count_657': 3, 'count_854': 2}"
1,AA0002,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_625': 24, 'count_648': 42, 'count_854': 26, 'count_943': 122, 'count_320': 9, 'count_1128': 1, 'count_450': 7, 'count_182305697': 1, 'count_182305693': 1, 'count_113': 8, 'count_844': 7, 'count_484682516': 3, 'count_940': 1, 'count_962': 14, 'count_672': 140, 'count_1021': 2, 'count_767': 13, 'count_806': 11, 'count_1035': 6, 'count_862': 1, 'count_873': 3, 'count_1090': 3, 'count_1106': 1, 'count_600': 2, 'count_945': 3}"
2,AA0003,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,943,"{'count_943': 151, 'count_648': 38, 'count_844': 2, 'count_484682516': 1, 'count_873': 2, 'count_1035': 37, 'count_1090': 8, 'count_806': 15, 'count_959': 3, 'count_862': 3, 'count_600': 2, 'count_678': 1, 'count_289': 2, 'count_234': 1, 'count_729': 1, 'count_893': 1, 'count_320': 6, 'count_625': 3, 'count_854': 10, 'count_577': 1, 'count_1128': 1}"
3,AA0004,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_625': 20, 'count_648': 40, 'count_943': 70, 'count_577': 6, 'count_854': 31, 'count_844': 9, 'count_1021': 2, 'count_672': 57, 'count_484682516': 2, 'count_857': 1, 'count_344': 1, 'count_484682512': 1, 'count_950': 2, 'count_657': 3, 'count_182305697': 1}"
4,AA0005,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_1101': 2, 'count_783': 3, 'count_1108': 4, 'count_844': 121, 'count_648': 47, 'count_767': 5, 'count_1021': 13, 'count_940': 5, 'count_484682516': 5, 'count_889': 13, 'count_484682512': 2, 'count_672': 7, 'count_1090': 1, 'count_862': 1, 'count_625': 7, 'count_945': 35, 'count_1102': 10, 'count_1070': 3, 'count_1038': 7, 'count_182305709': 15, 'count_1026': 1, 'count_182305705': 2, 'count_882': 1, 'count_943': 2}"
5,AA0006,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,943,"{'count_1108': 1, 'count_767': 18, 'count_844': 2, 'count_648': 31, 'count_1106': 3, 'count_1058': 1, 'count_163': 17, 'count_1010': 1, 'count_187': 1, 'count_344': 2, 'count_943': 35}"
6,AA0007,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,854,"{'count_484682512': 1, 'count_844': 8, 'count_648': 48, 'count_625': 25, 'count_945': 6, 'count_974': 2, 'count_577': 2, 'count_854': 36, 'count_943': 24, 'count_320': 3, 'count_450': 1}"
7,AA0008,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,854,"{'count_962': 6, 'count_767': 9, 'count_1021': 1, 'count_844': 6, 'count_943': 55, 'count_648': 27, 'count_625': 25, 'count_974': 5, 'count_945': 3, 'count_1102': 3, 'count_1090': 11, 'count_806': 2, 'count_1035': 3, 'count_862': 1, 'count_182305705': 1, 'count_577': 3, 'count_854': 42, 'count_838': 3, 'count_182305697': 6, 'count_558': 1, 'count_657': 3, 'count_950': 1, 'count_182305693': 1}"
8,AA0009,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,943,"{'count_1128': 8, 'count_648': 28, 'count_113': 9, 'count_1030': 1, 'count_943': 75, 'count_844': 1, 'count_320': 6, 'count_625': 4, 'count_1094': 1, 'count_854': 13, 'count_450': 5}"
9,AA0010,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,767,"{'count_1021': 13, 'count_962': 26, 'count_767': 63, 'count_943': 5, 'count_648': 2}"
