brain,virus,timepoint,primary injection site,Lob. I-V,"Lob. VI, VII",Lob. VIII-X,Simplex,Crus I,Crus II,"PM, CP"
20170410_tp_bl6_lob6a_ml_repro_01,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0.1080385797,0.7160347082,0.01416175647,0,0.003472517023,7.64E-05,0.003124416295
20160823_tp_bl6_cri_500r_02,HSV-H129,Disynaptic (54 hpi),"PM, CP",0,0.001784704552,0,0,0.002509188578,0.1919705966,0.6939320045
20180417_jg59_bl6_cri_03,HSV-H129,Disynaptic (54 hpi),Crus I,0,0,0,0.006408015845,0.832625955,0.06928979211,0
20170207_db_bl6_crii_1300r_02,HSV-H129,Disynaptic (54 hpi),Crus II,0,0,0,0,0,0.9280590369,0.01065715699
20160622_db_bl6_unk_01,HSV-H129,Disynaptic (54 hpi),"PM, CP",0,0.2210367304,0,0.0002022076316,0.04757826625,0.2091421639,0.3411599581
20161205_tp_bl6_sim_750r_03,HSV-H129,Disynaptic (54 hpi),Simplex,0.06767402528,0,0,0.8415079224,0.00204735624,0,0
20180410_jg51_bl6_lob6b_04,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0,0.2992027215,0.2413967478,0,0,0,0.2453831403
20170419_db_bl6_cri_rpv_53hr,HSV-H129,Disynaptic (54 hpi),Crus I,0,0.03083255006,0,0.2725369563,0.3927482982,0.01461163804,0.005511407331
20170116_tp_bl6_lob6b_lpv_07,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0,0.6392042197,0.03465772274,0,0,0.008399266139,0.1872778351
20170411_db_bl6_crii_mid_53hr,HSV-H129,Disynaptic (54 hpi),"PM, CP",0,0,0.03006123156,0,0,0.001363268764,0.8667770632
20160822_tp_bl6_crii_1500r_06,HSV-H129,Disynaptic (54 hpi),Crus II,0,0,0,0,0.0219360317,0.6712708746,0.1643739975
20160920_tp_bl6_lob7_500r_03,HSV-H129,Disynaptic (54 hpi),Lob. VIII-X,0,0.102331072,0.7061199528,0,0,0,0.1046208986
20170207_db_bl6_crii_rpv_01,HSV-H129,Disynaptic (54 hpi),Crus II,0,0,0,0,0.04814776782,0.5674145765,0.2320873874
20161205_tp_bl6_sim_250r_02,HSV-H129,Disynaptic (54 hpi),Simplex,0.02467043315,0,0,0.8159537261,0.03112725316,0,0
20161207_db_bl6_lob6a_500r_53hr,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0.03727510579,0.8872379599,0,0,0,0,0
20170130_tp_bl6_sim_rlat_05,HSV-H129,Disynaptic (54 hpi),Crus I,0,0,0,0.1271707014,0.7610090198,0.002339173708,0.004432118605
20170115_tp_bl6_lob6b_500r_05,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0,0.6860214581,0.05731685868,0,0,0,0
20170419_db_bl6_cri_mid_53hr,HSV-H129,Disynaptic (54 hpi),Crus II,0,0,0,0,0.05279461537,0.7306346444,0.02350039199
20161207_db_bl6_lob6a_850r_53hr,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0.002871850447,0.694662693,0,0.1006592613,0.0647520997,0,0
20160622_db_bl6_crii_52hr_01,HSV-H129,Disynaptic (54 hpi),"PM, CP",0,0.1977574799,0.001566250951,0,0.02668481761,0.2455647286,0.3782422858
20161207_db_bl6_lob6a_50rml_53d5hr,HSV-H129,Disynaptic (54 hpi),"Lob. VI, VII",0.1208490963,0.8362757461,0,0,0,0,0
20161205_tp_bl6_lob45_1000r_01,HSV-H129,Disynaptic (54 hpi),Lob. I-V,0.8657631798,0.01240725927,0,0.006227157938,0,0,0
20160801_db_l7_cri_01_mid_64hr,HSV-H129,Disynaptic (54 hpi),Crus I,0,0,0,0.0007086000425,0.8598861516,0.06380943383,0
20170204_tp_bl6_cri_1750r_03,HSV-H129,Trisynaptic (80 hpi),Crus I,0.001007551035,0,0,0.4030651941,0.473963202,0,0
20180416_jg56_bl6_lob8_04,HSV-H129,Trisynaptic (80 hpi),Lob. VIII-X,0.0003998512182,0.006616142831,0.8523665613,0,0,0,0
20170116_tp_bl6_lob45_ml_11,HSV-H129,Trisynaptic (80 hpi),Lob. I-V,0.9045066725,0.006516235897,0,0,0,0,0
20180410_jg52_bl6_lob7_05,HSV-H129,Trisynaptic (80 hpi),Lob. VIII-X,0.05633854859,0.1791188953,0.5563754988,0,0,0,0.005167754059
20170116_tp_bl6_lob7_1000r_10,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0,0,0.205501511,0,0,0,0.6568063
20180612_jg80,HSV-H129,Trisynaptic (80 hpi),Crus II,0,0,0,0.01001559552,0.1008230725,0.4356717783,0.194983808
20180608_jg71,HSV-H129,Trisynaptic (80 hpi),Lob. VIII-X,0.003742686598,0.009597106445,0.6971456467,0,0,0,0.005769358788
20170212_tp_bl6_crii_1000r_02,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0,0.01143418264,0.0002077225582,0.007260847602,0.04015654727,0.1563867605,0.598467574
20170115_tp_bl6_lob6a_rpv_03,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.01824743711,0.5064636062,0,0.2468770904,0.1006798065,0,0
20170212_tp_bl6_crii_2000r_03,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0,0,0,0,0.007754255617,0.1122681357,0.7079463627
20170130_tp_bl6_sim_1750r_03,HSV-H129,Trisynaptic (80 hpi),Simplex,0,0,0,0.5282950369,0.3965270719,0,0
20170115_tp_bl6_lob6b_ml_04,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.0284888705,0.8064530432,0.0263752993,0,0,0,0
20170115_tp_bl6_lob6a_1000r_02,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.3036241284,0.582158807,0.001976164152,0.03453499203,0.001976164152,0,0
20170116_tp_bl6_lob45_500r_12,HSV-H129,Trisynaptic (80 hpi),Lob. I-V,0.8243227732,0,0,0,0,0,0
20180612_jg76,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0,0.004287542447,8.57E-05,0.002801261575,0.01598633629,0.1617426265,0.6078183412
20170115_tp_bl6_lob6a_500r_01,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.1446385149,0.7294644446,0,0.01639879011,0.001378921772,0,0
20170130_tp_bl6_sim_rpv_01,HSV-H129,Trisynaptic (80 hpi),Crus I,0,0,0,0.07693055432,0.7581349383,0.02961546874,0
20170204_tp_bl6_cri_1000r_02,HSV-H129,Trisynaptic (80 hpi),Crus I,0,0.1389354822,0,0.05843089108,0.5493610472,0.0857441768,0.0008646180982
20170212_tp_bl6_crii_250r_01,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0,0.05401333468,0.01082740244,0,0.002383602613,0.107273361,0.7011277139
20180409_jg46_bl6_lob6a_04,HSV-H129,Trisynaptic (80 hpi),Lob. I-V,0.6841332566,0.01940253138,0.06393780842,0,0,0,0
20180608_jg75,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.01118340648,0.3684621688,0.01051677685,0.07072176546,0.1155039998,0.1424087551,0.07804427532
20180608_jg72,HSV-H129,Trisynaptic (80 hpi),Lob. VIII-X,0.01337983124,0.08851980688,0.6886801546,0,0,0,0.03234554488
20180417_jg60_bl6_cri_04,HSV-H129,Trisynaptic (80 hpi),Crus II,0,0.04769224686,0,0.01278185826,0.2435917714,0.5416275368,0.01449698
20180409_jg44_bl6_lob6a_02,HSV-H129,Trisynaptic (80 hpi),Lob. I-V,0.757689396,0.06445356705,0.02827574904,0,0,0,0
20180410_jg49_bl6_lob45_02,HSV-H129,Trisynaptic (80 hpi),Lob. I-V,0.8079850529,0.07826291152,0,0,0,0,0
20180410_jg48_bl6_lob6a_01,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.2031906629,0.7264385816,0,0,0,0,0
20180417_jg58_bl6_sim_02,HSV-H129,Trisynaptic (80 hpi),Simplex,0.0718172287,0,0,0.7205942854,0.05405369537,0,0
20180410_jg50_bl6_lob6b_03,HSV-H129,Trisynaptic (80 hpi),"Lob. VI, VII",0.0279068167,0.4291490313,0.318198502,0,0,0,0
20180612_jg77,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0.001782616156,0.0136222379,0.0001000934205,0.01183008904,0.02107681455,0.1538149892,0.5882680978
20180416_jg55_bl6_lob8_03,HSV-H129,Trisynaptic (80 hpi),Lob. VIII-X,0,0,0.7959076255,0,0,0,0.002946622428
20180417_jg61_bl6_crii_05,HSV-H129,Trisynaptic (80 hpi),"PM, CP",0,0.126355452,0.0677423994,0.003894497656,0.0163603417,0.05431012167,0.4805418932
20170116_tp_bl6_lob7_ml_08,HSV-H129,Trisynaptic (80 hpi),Lob. VIII-X,0,0.009011779903,0.905606988,0,0,0,0
20180409_jg47_bl6_lob6a_05,HSV-H129,Trisynaptic (80 hpi),Lob. I-V,0.4708543678,0.4445182345,0.005634562803,0,0,0,0
20180205_jg_bl6f_prv_01,PRV,Disynaptic (80 hpi),Lob. I-V,0.4642813011,0.4566657056,0.001871862114,0.003848987867,1.37E-05,0,0
20180205_jg_bl6f_prv_02,PRV,Disynaptic (80 hpi),Lob. I-V,0.8535636573,0,0,0,0,0,0
20180205_jg_bl6f_prv_03,PRV,Disynaptic (80 hpi),"Lob. VI, VII",0.1121998943,0.6277623928,2.37E-05,0.1147167191,0.02895532044,0.0003708174552,1.58E-05
20180205_jg_bl6f_prv_04,PRV,Disynaptic (80 hpi),"Lob. VI, VII",0.02836749804,0.3305617428,0.1829404676,0.009491974882,0.1062673676,0.03984213086,0.04978639959
20180215_jg_bl6f_prv_05,PRV,Disynaptic (80 hpi),Lob. I-V,0.7234000988,0.05055432854,0,0.08205039153,0,0,0
20180215_jg_bl6f_prv_06,PRV,Disynaptic (80 hpi),Lob. I-V,0.42644213,0.3434647678,0,0.1132246413,4.77E-05,0,0
20180215_jg_bl6f_prv_08,PRV,Disynaptic (80 hpi),Lob. I-V,0.6629163849,0.02505399097,0.0311675138,0,0,0,0
20180215_jg_bl6f_prv_09,PRV,Disynaptic (80 hpi),"Lob. VI, VII",6.16E-05,0.512180253,0.2314740692,0,5.54E-05,0.002487776642,0.05784696479
20180305_jg_bl6f_prv_11,PRV,Disynaptic (80 hpi),"Lob. VI, VII",0,0.590591597,0.09543867076,0,0.005079902635,0.00755635517,0.07637845275
20180305_jg_bl6f_prv_12,PRV,Disynaptic (80 hpi),Crus II,0,0.2475520543,0,0.003173813605,0.09340852442,0.4291785392,0.06891014377
20180305_jg_bl6f_prv_13,PRV,Disynaptic (80 hpi),Crus II,0,0.002958991854,0,0,0.3138620065,0.6442856646,0
20180306_jg_bl6f_prv_14,PRV,Disynaptic (80 hpi),"PM, CP",0.001837229566,0.02607920351,0.003485332559,0.02061479645,0.01389404859,0.08310761977,0.6073394619
20180305_jg_bl6f_prv_15,PRV,Disynaptic (80 hpi),"PM, CP",0,0,0,0,0.01174996703,0.1532902545,0.6296320717
20180312_jg_bl6f_prv_17,PRV,Disynaptic (80 hpi),Lob. I-V,0.3742993334,0.0621643121,0.1558578502,0,0,0,0
20180326_jg_bl6f_prv_37,PRV,Disynaptic (80 hpi),Lob. I-V,0.3226059154,0.3065246907,8.80E-06,0.09815092322,0,0,0
20180313_jg_bl6f_prv_21,PRV,Disynaptic (80 hpi),Lob. VIII-X,0,0.06604094962,0.7523111983,0,0,0,0.1064737046
20180313_jg_bl6f_prv_23,PRV,Disynaptic (80 hpi),"PM, CP",0,7.28E-05,0.3134764282,0,0,0,0.4009919014
20180313_jg_bl6f_prv_24,PRV,Disynaptic (80 hpi),Lob. VIII-X,0,0.01620991916,0.5823139979,0,0,0,0.24687096
20180313_jg_bl6f_prv_25,PRV,Disynaptic (80 hpi),"PM, CP",0,0.006220135804,0.00192807444,0.004694442116,0.01749797412,0.01387095873,0.7053734596
20180322_jg_bl6f_prv_27,PRV,Disynaptic (80 hpi),Simplex,0.006376395742,0.01007180691,0,0.6061271366,0.1499394967,0.0003622952126,9.42E-05
20180322_jg_bl6f_prv_28,PRV,Disynaptic (80 hpi),Crus II,0,0,0,0.005540983979,0.06977892836,0.3825493068,0.3763497633
20180323_jg_bl6f_prv_30,PRV,Disynaptic (80 hpi),"PM, CP",0,0.2226359162,0.06927968352,5.06E-06,0.002721611518,0.02399874543,0.4683802364
20180326_jg_bl6f_prv_33,PRV,Disynaptic (80 hpi),"PM, CP",0,0,0,0,0.02469081552,0.1480325956,0.6302090199
20180326_jg_bl6f_prv_34,PRV,Disynaptic (80 hpi),"PM, CP",0,0,0,0,0,0.01263779413,0.7957883715
20180326_jg_bl6f_prv_35,PRV,Disynaptic (80 hpi),Crus II,0,0.001763050953,0,0.004793164531,0.04381369178,0.46540794,0.3109346671
